login_userName,Mosebedisi,"User Name"
login_password,Phasewete,Password
login_orgUnit,"Yuniti Mokhatlo Oa","Organisation Unit"
login_btn_login,Kena,Login
menu_todayTests,"Kajeno Teko","Today Cases"
menu_pastTests,"Liteko tse fetileng","Previous Cases"
menu_positiveTests,"Liteko Positive","Positive Cases"
menu_consumables,Consumables,Consumables
menu_statistics,Lipalo-palo,Statistics
menu_searchCreateClient,"Fuputso / Bopa Ya Sedirelwa","Search / Create Client"
menu_settings,Di-setting,Settings
menu_about,Mabapi,About
menu_logOff,Tsoa,"Log Off"
page_headerTitle_counsellor,Moeletsi,Counsellor
clientEntryForm_msg_select_orgUnit,"Ka kōpo khetha yuniti mokhatlo o","Please select an orgUnit in"
clientEntryForm_msg_settings,Di-setting,Settings
searchClient_headerTitle,"Fuputso / Bopa Ya Sedirelwa","Search/Create client"
searchClient_btn_search,Fuputso/Bopa,Search
searchResult_msg_searchCriteria,"Litlholisano bakeng","Matches for your search"
searchClient_result_tableHeader_firstName,"Lebitso la pele","First Name"
searchClient_result_tableHeader_surname,Fane,Surname
searchClient_result_tableHeader_dob,"Letsatsi la tsoalo",DoB
searchClient_result_tableHeader_districtOfBirth,"Seterekeng sa tsoalo","District o B"
searchClient_result_tableHeader_birthOrder,"Le Hore Tsoalo",Twin
searchClient_result_tableHeader_adquisition,Adquisition,Adquisition
searchClient_result_tableHeader_lastTestNS,"Mamella teko ea ho qetela NS","Last test NS"
searchClient_result_optionTitle,"Khetha etsetsoang ka holimo kapa","Select a client above or"
searchClient_result_btn_addClient,"Eketsa etsetsoang","Add new"
searchClient_result_btn_backToSearch,"Kgutlela morao ho batla",Back
searchClient_result_btn_todayCases,"Kajeno Mabokosana",Cancel
dataEntryForm_headerTitle_addClient,"Eketsa Ya Sedirelwa","Add Client"
dataEntryForm_tab_clientAttributes_headerTitle,"Lesedi Etsetsoang","Client Attributes"
dataEntryForm_tab_previousTests_headerTitle,"Liteko mehleng","Previous Tests"
dataEntryForm_tab_thisTest_headerTitle,"Teko e Ncha","This Test"
dataEntryForm_tab_clientAttributes_btn_save,pholosa,Save
dataEntryForm_tab_thisTest_btn_save,Pholosa,Save
dataEntryForm_tab_btn_back,Morao,Back
settings_headerTitle,Di-setting,Settings
settings_rowHeader_orgUnit,"Keletso bakeng sa fa setlhopha se kopane ena","Counsel for this session"
about_headerTitle,Mabapi,About
about_rowHeader_currentUser,"Hajwale user want-meet.ru","Current user"
about_rowHeader_version,Phetolelo,Version
about_rowHeader_dhisServer,"DHIS seva","DHIS server"
translation_msg_updatingTranslationKeywords,Ntlafatsoa,Updating
translation_msg_updatedTranslationKeywords,Ntjhafatswa,Updated
translation_btn_updateKeyword,"Update loi",Update
todayCases_headerTitle,"Bareki lekoa kajeno","Tested clients today"
previousCases_headerTitle,"Fetileng liteko - Last likhoeli 12","Previous cases, not including today"
positiveCases_headerTitle,"Maemong a positive, nka likhoeli tse 12","Positive Cases last 12 months"
common_msg_loadingData,"Play ya data","Loading data"
searchClient_validation_requiredValueInOneField,"Ka kopo, kenya bohlokoa tšimo, bonyane e ka sebōpeho","Please enter value in at least one field in form"
searchClient_result_rowTooltip,"Penya ho fetola ea etsetsoang","Click to edit the client"
searchClient_result_loadingClientDetails,"Lintlha tse qaqileng play sedirelwa","Loading client details"
clientEntryForm_msg_savingClient,"Pholosang sedirelwa","Saving client"
clientEntryForm_editForm_headerTitle,"Edita Sedirelwa","Edit Client"
clientEntryForm_msg_clientSaved,"Ea etsetsoang e pholositse","The client is saved"
clientEntryForm_validation_checkErrorFields,"Ka kōpo botsa masimo phoso","Please check error fields"
clientEntryForm_msg_editingEvent,"Pholosang ketsahalo","Saving event"
clientEntryForm_msg_eventSaved,"Ketsahalo e pholositse","The event is saved"
clientEntryForm_msg_creatingEvent,"Bōpa ketsahalo e ncha","Creating new event"
dataEntryForm_headerTitle_editClient,"Update lam Sedirelwa","Edit Client"
searchClient_result_noClientFound,"Ha ho sedirelwa fumanoa. Khetha kgetho e ka tlaase mona","No client found. Select an option below"
session_msg_expired,"User e sa monametsi j ho sona kapa e fa setlhopha se kopane e fetile","User is not logged in or session is expired"
session_msg_loginAgain,"Ka kōpo Login ka boela","Please login in again"
session_msg_here,mona,here
settings_rowHeader_language,Puo,Language
login_msg_enterUserNameOrPassword,"Ka kopo, kenya lebitso la mosebedisi / phasewete","Please enter username / password"
login_msg_logging,"Ho rengoa ha lifate",Logging
login_msg_wrongUsernamePassword,"E fosahetseng mosebedisi / phasewete","Wrong username/password"
common_msg_initializing,Initializing,Initializing
common_msg_orgUnitSaved,"Mokhatlo yuniti e pholositse","Organisation Unit is saved"
searchResult_msg_matchFor,"bareki le","clients with"
clientEntryForm_msg_saveDataFail,"Pholosa ya data hlōleha. Ka kōpo botsa ya data ka sebōpeho","Save data fail. Please check the data in form."
common_validation_valueNumber,"Boleng ba lokela ho 'maloa","The value should be a number"
